LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760384593.332222,459147.000,8281,1,MX,1,100,-17
1760384593.372224,459187.000,8297,3,MX,1,100,-18
1760384593.412225,459227.000,8297,3,MX,1,100,-18
1760384593.452227,459267.000,8297,3,MX,1,100,-17
1760384593.492229,459307.000,8314,2,MX,1,100,-18
1760384593.532230,459347.000,8314,2,MX,1,100,-18
1760384593.572232,459387.000,8331,3,MX,1,100,-18
1760384593.612233,459427.000,8331,3,MX,1,100,-17
1760384593.652235,459467.000,8331,3,MX,1,100,-18
1760384593.692236,459507.000,8347,2,MX,1,100,-17
1760384593.732238,459547.000,8347,2,MX,1,100,-17
1760384593.772573,459587.333,8362,3,MX,1,100,-18
1760384593.812907,459627.667,8362,3,MX,1,100,-17
1760384593.853242,459668.000,8362,3,MX,1,100,-17
1760384593.893244,459708.000,8379,2,MX,1,100,-17
1760384593.933245,459748.000,8379,2,MX,1,100,-18
1760384593.973247,459788.000,8396,3,MX,1,100,-18
1760384594.013248,459828.000,8396,3,MX,1,100,-17
1760384594.053250,459868.000,8396,3,MX,1,100,-17
1760384594.093251,459908.000,8413,2,MX,1,100,-17
1760384594.133253,459948.000,8413,2,MX,1,100,-17
1760384594.173254,459988.000,8427,3,MX,1,100,-17
1760384594.213256,460028.000,8427,3,MX,1,100,-18
1760384594.253258,460068.000,8427,3,MX,1,100,-17
1760384594.293259,460108.000,8445,2,MX,1,100,-17
1760384594.333261,460148.000,8445,2,MX,1,100,-17
1760384594.373262,460188.000,8461,3,MX,1,100,-17
1760384594.413264,460228.000,8461,3,MX,1,100,-16
1760384594.453265,460268.000,8461,3,MX,1,100,-17
1760384594.493267,460308.000,8478,2,MX,1,100,-16
1760384594.533268,460348.000,8478,2,MX,1,100,-17
1760384594.573270,460388.000,8493,3,MX,1,100,-17
1760384594.613271,460428.000,8493,3,MX,1,100,-17
1760384594.653273,460468.000,8493,3,MX,1,100,-18
1760384594.688607,460503.333,8510,3,MX,1,100,-18
1760384594.723942,460538.667,8510,3,MX,1,100,-17
1760384594.759277,460574.000,8510,3,MX,1,100,-18
1760384594.799278,460614.000,8526,2,MX,1,100,-18
1760384594.839280,460654.000,8526,2,MX,1,100,-17
1760384594.879281,460694.000,8544,3,MX,1,100,-17
1760384594.919283,460734.000,8544,3,MX,1,100,-17
1760384594.959284,460774.000,8544,3,MX,1,100,-17
1760384594.999286,460814.000,8558,2,MX,1,100,-17
1760384595.039287,460854.000,8558,2,MX,1,100,-18
1760384595.079289,460894.000,8575,3,MX,1,100,-17
1760384595.119290,460934.000,8575,3,MX,1,100,-18
1760384595.159292,460974.000,8575,3,MX,1,100,-18
1760384595.199293,461014.000,8591,3,MX,1,100,-18
1760384595.239295,461054.000,8591,3,MX,1,100,-17
1760384595.279297,461094.000,8591,3,MX,1,100,-18
1760384595.319298,461134.000,8609,2,MX,1,100,-18
1760384595.359300,461174.000,8609,2,MX,1,100,-18
1760384595.399301,461214.000,8623,3,MX,1,100,-17
1760384595.439303,461254.000,8623,3,MX,1,100,-17
1760384595.479304,461294.000,8623,3,MX,1,100,-18
1760384595.519306,461334.000,8640,2,MX,1,100,-17
1760384595.559307,461374.000,8640,2,MX,1,100,-18
1760384595.599309,461414.000,8657,3,MX,1,100,-18
1760384595.639310,461454.000,8657,3,MX,1,100,-17
1760384595.679312,461494.000,8657,3,MX,1,100,-18
1760384595.719313,461534.000,8674,2,MX,1,100,-18
1760384595.759315,461574.000,8674,2,MX,1,100,-17
1760384595.799316,461614.000,8689,3,MX,1,100,-18
1760384595.839318,461654.000,8689,3,MX,1,100,-17
