LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760381627.920244,932805,21115,2,RD,1,100,TL,TU
1760381633.028149,937913,21979,2,RD,1,100,TL,TU
1760381638.142054,943027,22844,2,RD,1,100,TL,TU
1760381643.248959,948134,23708,2,RD,1,100,TL,TU
1760381648.373864,953259,24593,2,RD,1,100,TL,TU
1760381653.480769,958366,25457,2,RD,1,100,TL,TU
1760381658.593674,963479,26332,2,RD,1,100,TL,TU
1760381663.740579,968626,27219,2,RD,1,100,TL,TU
1760381668.847484,973733,28090,2,RD,1,100,TL,TU
1760381673.990389,978876,28979,2,RD,1,100,TL,TU
1760381679.097294,983983,29852,2,RD,1,100,TL,TU
1760381684.236198,989122,30740,2,RD,1,100,TL,TU
1760381689.344104,994230,31606,2,RD,1,100,TL,TU
1760381694.485008,999371,32492,2,RD,1,100,TL,TU
1760381699.598913,1004485,33361,2,RD,1,100,TL,TU
1760381704.715818,1009602,34234,2,RD,1,100,TL,TU
1760381709.838723,1014725,35096,2,RD,1,100,TL,TU
1760381714.965628,1019852,35961,2,RD,1,100,TL,TU
1760381720.078533,1024965,36820,2,RD,1,100,TL,TU
1760381725.206438,1030093,37680,2,RD,1,100,TL,TU
1760381730.323343,1035210,38549,2,RD,1,100,TL,TU
1760381735.436248,1040323,39419,2,RD,1,100,TL,TU
1760381740.560153,1045447,40280,2,RD,1,100,TL,TU
1760381745.670058,1050557,41147,2,RD,1,100,TL,TU
1760381750.795963,1055683,42003,2,RD,1,100,TL,TU
