LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760384804.287473,670100.000,42668,1,BI,1,100,5560
1760384879.211083,745026.000,54736,1,BI,1,100,74840
1760384919.125809,784942.000,61200,1,BI,1,100,39880
1760384925.458607,791275.000,62232,1,BI,1,100,6320
