RD,TS_received,TS_sent,AK,RoundTrip,
69234,69246,2025-10-13_15-36-43-427938,69247,12,
74342,74351,2025-10-13_15-36-48-534065,74352,9,
79475,79493,2025-10-13_15-36-53-673379,79494,18,
84582,84591,2025-10-13_15-36-58-774764,84592,9,
89694,89709,2025-10-13_15-37-03-892136,89710,15,
94815,94828,2025-10-13_15-37-09-011295,94829,13,
99920,99940,2025-10-13_15-37-14-119447,99941,20,
105027,105056,2025-10-13_15-37-19-234332,105057,29,
110161,110180,2025-10-13_15-37-24-362661,110184,19,
115269,115305,2025-10-13_15-37-29-462906,115307,36,
120376,120388,2025-10-13_15-37-34-569673,120389,12,
125494,125517,2025-10-13_15-37-39-688685,125518,23,
130602,130622,2025-10-13_15-37-44-796444,130623,20,
135737,135750,2025-10-13_15-37-49-931435,135754,13,
140847,140861,2025-10-13_15-37-55-043466,140862,14,
145976,145990,2025-10-13_15-38-00-172442,145994,14,
151088,151102,2025-10-13_15-38-05-283794,151104,14,
156221,156232,2025-10-13_15-38-10-413790,156234,11,
161331,161341,2025-10-13_15-38-15-523373,161347,10,
166438,166450,2025-10-13_15-38-20-631891,166451,12,
171564,171619,2025-10-13_15-38-25-756911,171621,55,
176672,176738,2025-10-13_15-38-30-907330,176739,66,
181782,181831,2025-10-13_15-38-36-009212,181832,49,
186889,186924,2025-10-13_15-38-41-087271,186925,35,
191997,192011,2025-10-13_15-38-46-189574,192012,14,
197121,197131,2025-10-13_15-38-51-313211,197136,10,
