LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760380768.781596,73665,10033,2,AK,1,100,9219,RD
1760380768.795595,73679,10036,2,AK,1,100,10034,RD
1760380773.888490,78772,10874,2,AK,1,100,10034,RD
1760380773.909489,78793,10877,2,AK,1,100,10875,RD
1760380779.016384,83900,11740,2,AK,1,100,10875,RD
1760380779.042383,83926,11743,2,AK,1,100,11741,RD
1760380784.122278,89006,12588,2,AK,1,100,11741,RD
1760380784.136278,89020,12591,2,AK,1,100,12589,RD
1760380789.230172,94114,13431,2,AK,1,100,12589,RD
1760380789.243172,94127,13434,2,AK,1,100,13432,RD
1760380794.355066,99239,14299,2,AK,1,100,13432,RD
1760380794.377066,99261,14302,2,AK,1,100,14300,RD
1760380799.458961,104343,15158,2,AK,1,100,14300,RD
1760380799.470960,104355,15161,2,AK,1,100,15159,RD
1760380804.566855,109451,16023,2,AK,1,100,15159,RD
1760380804.586854,109471,16026,2,AK,1,100,16024,RD
1760380809.703748,114588,16883,2,AK,1,100,16024,RD
1760380809.718748,114603,16886,2,AK,1,100,16884,RD
1760380814.812643,119697,17744,2,AK,1,100,16884,RD
1760380814.825642,119710,17747,2,AK,1,100,17745,RD
1760380819.917537,124802,18601,2,AK,1,100,17745,RD
1760380819.936537,124821,18604,2,AK,1,100,18602,RD
1760380825.053431,129938,19472,2,AK,1,100,18602,RD
1760380825.066430,129951,19475,2,AK,1,100,19473,RD
1760380830.159325,135044,20327,2,AK,1,100,19473,RD
1760380830.175325,135060,20330,2,AK,1,100,20328,RD
1760380835.268219,140153,21185,2,AK,1,100,20328,RD
1760380835.288219,140173,21188,2,AK,1,100,21186,RD
1760380840.397113,145282,22068,2,AK,1,100,21186,RD
1760380840.410113,145295,22071,2,AK,1,100,22069,RD
1760380845.505007,150390,22926,2,AK,1,100,22069,RD
1760380845.520007,150405,22929,2,AK,1,100,22927,RD
1760380850.619901,155505,23784,2,AK,1,100,22927,RD
1760380850.637901,155523,23787,2,AK,1,100,23785,RD
1760380855.745795,160631,24655,2,AK,1,100,23785,RD
1760380855.756795,160642,24658,2,AK,1,100,24656,RD
1760380860.853689,165739,25518,2,AK,1,100,24656,RD
1760380860.872689,165758,25521,2,AK,1,100,25519,RD
1760380865.964584,170850,26394,2,AK,1,100,25519,RD
1760380866.016582,170902,26397,2,AK,1,100,26395,RD
1760380871.071478,175957,27268,2,AK,1,100,26395,RD
1760380871.112477,175998,27271,2,AK,1,100,27269,RD
1760380876.179372,181065,28123,2,AK,1,100,27269,RD
1760380876.218371,181104,28126,2,AK,1,100,28124,RD
1760380881.287266,186173,28981,2,AK,1,100,28124,RD
1760380881.323266,186209,28984,2,AK,1,100,28982,RD
1760380886.395161,191281,29852,2,AK,1,100,28982,RD
1760380886.423160,191309,29855,2,AK,1,100,29853,RD
1760380891.536054,196422,30740,2,AK,1,100,29853,RD
1760380891.549054,196435,30743,2,AK,1,100,30741,RD
