LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1760384203.054581,68867.000,9161,3,MY,1,100, 1
1760384203.054581,68867.000,9161,3,MY,1,100, 2
1760384203.054581,68867.000,9161,3,MY,1,100, 1
1760384203.094581,68907.000,9178,3,MY,1,100, 1
1760384203.134581,68947.000,9178,3,MY,1,100, 2
1760384203.174580,68987.000,9178,3,MY,1,100, 1
1760384203.214580,69027.000,9194,2,MY,1,100, 2
1760384203.254580,69067.000,9194,2,MY,1,100, 1
1760384203.294580,69107.000,9212,3,MY,1,100, 4
1760384203.334580,69147.000,9212,3,MY,1,100, 2
1760384203.374580,69187.000,9212,3,MY,1,100, 2
1760384203.414580,69227.000,9233,2,MY,1,100, 3
1760384203.454580,69267.000,9233,2,MY,1,100, 0
1760384203.494580,69307.000,9250,3,MY,1,100, 2
1760384203.534579,69347.000,9250,3,MY,1,100, 2
1760384203.574579,69387.000,9250,3,MY,1,100, 1
1760384203.614579,69427.000,9267,2,MY,1,100, 2
1760384203.654579,69467.000,9267,2,MY,1,100, 2
1760384203.694579,69507.000,9282,3,MY,1,100, 1
1760384203.734579,69547.000,9282,3,MY,1,100, 1
1760384203.774579,69587.000,9282,3,MY,1,100, 1
1760384203.814579,69627.000,9298,2,MY,1,100, 0
1760384203.854578,69667.000,9298,2,MY,1,100, 1
1760384203.894578,69707.000,9315,3,MY,1,100, 1
1760384203.934578,69747.000,9315,3,MY,1,100, 1
1760384203.974578,69787.000,9315,3,MY,1,100, 1
1760384204.014578,69827.000,9332,2,MY,1,100, 1
1760384204.054578,69867.000,9332,2,MY,1,100, 1
1760384204.094578,69907.000,9349,3,MY,1,100, 1
1760384204.134578,69947.000,9349,3,MY,1,100, 1
1760384204.174577,69987.000,9349,3,MY,1,100, 1
1760384204.214577,70027.000,9365,3,MY,1,100, 0
1760384204.254577,70067.000,9365,3,MY,1,100, 0
1760384204.294577,70107.000,9365,3,MY,1,100, 1
1760384204.334577,70147.000,9383,2,MY,1,100, 0
1760384204.374577,70187.000,9383,2,MY,1,100, 0
