LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760385216.405211,1082218.000,45448,3,GX,1,100,-4.608
1760385216.445210,1082258.000,45467,2,GX,1,100,-33.630
1760385216.485209,1082298.000,45467,2,GX,1,100,-20.264
1760385216.525207,1082338.000,45482,3,GX,1,100,-67.139
1760385216.565206,1082378.000,45482,3,GX,1,100,-30.884
1760385216.605204,1082418.000,45482,3,GX,1,100,-30.334
1760385216.645203,1082458.000,45499,2,GX,1,100,-32.410
1760385216.685202,1082498.000,45499,2,GX,1,100,-23.804
1760385216.725200,1082538.000,45517,3,GX,1,100,-27.191
1760385216.765199,1082578.000,45517,3,GX,1,100,-12.665
1760385216.805197,1082618.000,45517,3,GX,1,100,-7.080
1760385216.845196,1082658.000,45537,2,GX,1,100,-4.150
1760385216.885195,1082698.000,45537,2,GX,1,100,21.912
1760385216.925193,1082738.000,45551,3,GX,1,100,68.604
1760385216.965192,1082778.000,45551,3,GX,1,100,58.136
1760385217.005191,1082818.000,45551,3,GX,1,100,53.986
1760385217.045189,1082858.000,45568,2,GX,1,100,23.376
1760385217.085188,1082898.000,45568,2,GX,1,100,-17.517
1760385217.125186,1082938.000,45586,3,GX,1,100,-42.145
1760385217.165185,1082978.000,45586,3,GX,1,100,-23.437
1760385217.205184,1083018.000,45586,3,GX,1,100,-32.410
1760385217.245182,1083058.000,45606,2,GX,1,100,-52.521
1760385217.285181,1083098.000,45606,2,GX,1,100,-43.152
1760385217.325180,1083138.000,45620,3,GX,1,100,-53.650
1760385217.365178,1083178.000,45620,3,GX,1,100,-51.453
1760385217.405177,1083218.000,45620,3,GX,1,100,-28.229
1760385217.441175,1083254.000,45639,3,GX,1,100,-43.549
1760385217.477174,1083290.000,45639,3,GX,1,100,-39.917
1760385217.513173,1083326.000,45639,3,GX,1,100,-46.143
1760385217.553172,1083366.000,45656,2,GX,1,100,-50.232
1760385217.593170,1083406.000,45656,2,GX,1,100,-32.501
1760385217.633169,1083446.000,45675,3,GX,1,100,-4.883
1760385217.673167,1083486.000,45675,3,GX,1,100,18.280
1760385217.713166,1083526.000,45675,3,GX,1,100,63.080
