RD,TS_received,TS_sent,AK,RoundTrip,
932805,932856,2025-10-13_14-53-47-958177,932859,51,
937913,937955,2025-10-13_14-53-53-058254,937959,42,
943027,943057,2025-10-13_14-53-58-164078,943058,30,
948134,948147,2025-10-13_14-54-03-253403,948149,13,
953259,953270,2025-10-13_14-54-08-377834,953272,11,
958366,958375,2025-10-13_14-54-13-485269,958377,9,
963479,963504,2025-10-13_14-54-18-603470,963505,25,
968626,968641,2025-10-13_14-54-23-751249,968651,15,
973733,973744,2025-10-13_14-54-28-851514,973745,11,
978876,978890,2025-10-13_14-54-33-994403,978892,14,
983983,983996,2025-10-13_14-54-39-102638,983998,13,
989122,989156,2025-10-13_14-54-44-259813,989158,34,
994230,994241,2025-10-13_14-54-49-348308,994243,11,
999371,999383,2025-10-13_14-54-54-490188,999385,12,
1004485,1004500,2025-10-13_14-54-59-606328,1004501,15,
1009602,1009615,2025-10-13_14-55-04-723526,1009619,13,
1014725,1014734,2025-10-13_14-55-09-843564,1014738,9,
1019852,1019938,2025-10-13_14-55-15-003683,1019940,86,
1024965,1024982,2025-10-13_14-55-20-084320,1024984,17,
1030093,1030138,2025-10-13_14-55-25-238880,1030140,45,
1035210,1035232,2025-10-13_14-55-30-338015,1035233,22,
1040323,1040337,2025-10-13_14-55-35-443181,1040338,14,
1045447,1045455,2025-10-13_14-55-40-564153,1045456,8,
1050557,1050576,2025-10-13_14-55-45-684315,1050577,19,
1055683,1055696,2025-10-13_14-55-50-804495,1055697,13,
