RD,TS_received,TS_sent,AK,RoundTrip,
1326817,1326829,2025-10-13_15-00-21-936613,1326832,12,
1331925,1331952,2025-10-13_15-00-27-056545,1331954,27,
1337060,1337082,2025-10-13_15-00-32-176149,1337083,22,
1342168,1342181,2025-10-13_15-00-37-286657,1342186,13,
1347278,1347306,2025-10-13_15-00-42-398939,1347307,28,
1352386,1352399,2025-10-13_15-00-47-505347,1352402,13,
1357523,1357536,2025-10-13_15-00-52-641840,1357537,13,
1362631,1362644,2025-10-13_15-00-57-750495,1362646,13,
1367770,1367801,2025-10-13_15-01-02-900502,1367802,31,
1372878,1372895,2025-10-13_15-01-08-001902,1372896,17,
1377985,1378003,2025-10-13_15-01-13-107111,1378004,18,
1383117,1383145,2025-10-13_15-01-18-251791,1383147,28,
1388224,1388249,2025-10-13_15-01-23-349914,1388250,25,
1393362,1393376,2025-10-13_15-01-28-480783,1393377,14,
1398487,1398501,2025-10-13_15-01-33-604537,1398503,14,
1403601,1403612,2025-10-13_15-01-38-721011,1403614,11,
1408718,1408732,2025-10-13_15-01-43-836479,1408733,14,
1413831,1413852,2025-10-13_15-01-48-951371,1413853,21,
1418953,1418966,2025-10-13_15-01-54-075418,1418973,13,
1424076,1424102,2025-10-13_15-01-59-195951,1424103,26,
1429205,1429226,2025-10-13_15-02-04-332545,1429230,21,
1434328,1434341,2025-10-13_15-02-09-446110,1434342,13,
1439447,1439472,2025-10-13_15-02-14-578019,1439474,25,
1444575,1444608,2025-10-13_15-02-19-699180,1444609,33,
