RD,TS_received,TS_sent,AK,RoundTrip,
2181525,2181553,2025-10-13_16-11-55-714297,2181554,28,
2186664,2186672,2025-10-13_16-12-00-850898,2186674,8,
2191772,2191790,2025-10-13_16-12-05-964809,2191791,18,
2196886,2196948,2025-10-13_16-12-11-102062,2196950,62,
2202008,2207127,2025-10-13_16-12-16-240934,2207128,5119,
2207135,2212247,2025-10-13_16-12-21-509810,2212248,5112,
2212254,2212308,2025-10-13_16-12-26-451949,2212309,54,
2217368,2217431,2025-10-13_16-12-31-593154,2217432,63,
2222494,2222511,2025-10-13_16-12-36-682306,2222513,17,
2227613,2227634,2025-10-13_16-12-41-810947,2227635,21,
2232728,2232759,2025-10-13_16-12-46-935141,2232760,31,
2237847,2237898,2025-10-13_16-12-52-071175,2237899,51,
2242954,2242985,2025-10-13_16-12-57-161158,2242986,31,
2248077,2248113,2025-10-13_16-13-02-288902,2248117,36,
2253189,2253228,2025-10-13_16-13-07-405680,2253229,39,
2258309,2263416,2025-10-13_16-13-12-598463,2263417,5107,
2263424,2263448,2025-10-13_16-13-17-616433,2263449,24,
2268545,2268626,2025-10-13_16-13-22-786281,2268627,81,
2273656,2273669,2025-10-13_16-13-27-844229,2273703,13,
2278772,2278820,2025-10-13_16-13-32-996367,2278821,48,
2283880,2283927,2025-10-13_16-13-38-095828,2283928,47,
2288993,2289020,2025-10-13_16-13-43-194601,2289021,27,
2294114,2294152,2025-10-13_16-13-48-313631,2294154,38,
2299232,2299252,2025-10-13_16-13-53-422659,2299253,20,
2304370,2309476,2025-10-13_16-13-58-651799,2309477,5106,
2309483,2309500,2025-10-13_16-14-03-672423,2309502,17,
