RD,TS_received,TS_sent,AK,RoundTrip,
1081801,1081837,2025-10-13_15-53-36-017847,1081838,36,
1086920,1086940,2025-10-13_15-53-41-119448,1086941,20,
1092045,1092064,2025-10-13_15-53-46-241930,1092065,19,
1097168,1097184,2025-10-13_15-53-51-362695,1097185,16,
1102279,1102300,2025-10-13_15-53-56-478706,1102301,21,
1107405,1107426,2025-10-13_15-54-01-603849,1107431,21,
1112530,1112540,2025-10-13_15-54-06-721069,1112541,10,
1117645,1117661,2025-10-13_15-54-11-840168,1117662,16,
1122765,1122796,2025-10-13_15-54-16-975757,1122797,31,
1127884,1127900,2025-10-13_15-54-22-079070,1127901,16,
1132995,1133006,2025-10-13_15-54-27-185389,1133007,11,
1138112,1138123,2025-10-13_15-54-32-302161,1138124,11,
1143226,1143241,2025-10-13_15-54-37-417226,1143242,15,
1148337,1148353,2025-10-13_15-54-42-528270,1148354,16,
1153468,1153526,2025-10-13_15-54-47-699910,1153527,58,
1158602,1158626,2025-10-13_15-54-52-800690,1158627,24,
1163724,1163750,2025-10-13_15-54-57-918659,1163751,26,
1168852,1168861,2025-10-13_15-55-03-042479,1168865,9,
1173961,1173977,2025-10-13_15-55-08-153804,1173979,16,
1179078,1184191,2025-10-13_15-55-13-276083,1184192,5113,
1184198,1184210,2025-10-13_15-55-18-387692,1184212,12,
1189321,1189335,2025-10-13_15-55-23-514895,1189336,14,
1194436,1194455,2025-10-13_15-55-28-636568,1194457,19,
1199557,1199569,2025-10-13_15-55-33-746850,1199570,12,
