LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760381799.707315,1104595.000,50227,3,MX,1,100,-50
1760381799.747316,1104635.000,50227,3,MX,1,100,-52
1760381799.787316,1104675.000,50243,3,MX,1,100,-53
1760381799.827317,1104715.000,50243,3,MX,1,100,-55
1760381799.867317,1104755.000,50243,3,MX,1,100,-57
1760381799.907318,1104795.000,50259,2,MX,1,100,-58
1760381799.947318,1104835.000,50259,2,MX,1,100,-58
1760381799.987319,1104875.000,50277,3,MX,1,100,-58
1760381800.027319,1104915.000,50277,3,MX,1,100,-58
1760381800.067320,1104955.000,50277,3,MX,1,100,-58
1760381800.107320,1104995.000,50296,2,MX,1,100,-59
1760381800.147321,1105035.000,50296,2,MX,1,100,-58
1760381800.187321,1105075.000,50312,3,MX,1,100,-56
1760381800.227322,1105115.000,50312,3,MX,1,100,-53
1760381800.267322,1105155.000,50312,3,MX,1,100,-51
1760381800.307323,1105195.000,50330,2,MX,1,100,-49
1760381800.347323,1105235.000,50330,2,MX,1,100,-47
1760381800.387324,1105275.000,50346,3,MX,1,100,-47
1760381800.427324,1105315.000,50346,3,MX,1,100,-48
1760381800.467325,1105355.000,50346,3,MX,1,100,-48
1760381800.507325,1105395.000,50363,2,MX,1,100,-50
1760381800.547326,1105435.000,50363,2,MX,1,100,-53
1760381800.587326,1105475.000,50379,3,MX,1,100,-54
1760381800.627327,1105515.000,50379,3,MX,1,100,-56
1760381800.667327,1105555.000,50379,3,MX,1,100,-57
1760381800.707328,1105595.000,50399,2,MX,1,100,-59
1760381800.747328,1105635.000,50399,2,MX,1,100,-58
1760381800.787329,1105675.000,50413,3,MX,1,100,-59
1760381800.827329,1105715.000,50413,3,MX,1,100,-59
1760381800.867330,1105755.000,50413,3,MX,1,100,-59
1760381800.907330,1105795.000,50432,3,MX,1,100,-59
1760381800.947331,1105835.000,50432,3,MX,1,100,-57
1760381800.987331,1105875.000,50432,3,MX,1,100,-55
1760381801.027332,1105915.000,50449,2,MX,1,100,-53
1760381801.067332,1105955.000,50449,2,MX,1,100,-52
1760381801.107333,1105995.000,50468,3,MX,1,100,-50
1760381801.147333,1106035.000,50468,3,MX,1,100,-49
1760381801.187334,1106075.000,50468,3,MX,1,100,-49
1760381801.227334,1106115.000,50482,2,MX,1,100,-49
1760381801.267335,1106155.000,50482,2,MX,1,100,-50
1760381801.307335,1106195.000,50502,3,MX,1,100,-53
1760381801.347336,1106235.000,50502,3,MX,1,100,-55
1760381801.387336,1106275.000,50502,3,MX,1,100,-57
1760381801.427337,1106315.000,50518,2,MX,1,100,-57
1760381801.467337,1106355.000,50518,2,MX,1,100,-59
1760381801.507338,1106395.000,50537,3,MX,1,100,-59
1760381801.547338,1106435.000,50537,3,MX,1,100,-59
