LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760380540.506478,555383.000,24747,1,SR,1,100,0.133333
1760380541.106442,555983.000,24865,1,SR,1,100,0.200000
1760380541.773402,556650.000,24966,1,SR,1,100,0.200000
1760380542.373365,557250.000,25054,1,SR,1,100,0.066667
1760380542.573353,557450.000,25087,1,SR,1,100,0.066667
1760380543.106321,557983.000,25190,1,SR,1,100,0.200000
1760380543.706285,558583.000,25291,1,SR,1,100,0.200000
1760380544.506237,559383.000,25431,1,SR,1,100,0.133333
1760380545.040204,559917.000,25531,1,SR,1,100,0.266667
1760380545.840156,560717.000,25647,1,SR,1,100,0.133333
1760380546.372124,561249.000,25750,1,SR,1,100,0.200000
1760380547.773039,562650.000,25952,1,SR,1,100,0.066667
1760380548.305007,563182.000,26069,1,SR,1,100,0.200000
1760380548.904971,563782.000,26170,1,SR,1,100,0.266667
1760380549.771918,564649.000,26279,1,SR,1,100,0.066667
1760380550.238890,565116.000,26394,1,SR,1,100,0.266667
1760380551.037842,565915.000,26495,1,SR,1,100,0.133333
1760380551.504814,566382.000,26596,1,SR,1,100,0.266667
1760380552.637745,567515.000,26800,1,SR,1,100,0.266667
1760380553.037721,567915.000,26835,1,SR,1,100,0.066667
1760380554.037661,568915.000,27020,1,SR,1,100,0.266667
1760380554.570628,569448.000,27109,1,SR,1,100,0.200000
1760380555.037600,569915.000,27161,1,SR,1,100,0.066667
1760380555.370580,570248.000,27245,1,SR,1,100,0.200000
1760380555.704560,570582.000,27281,1,SR,1,100,0.066667
1760380556.170532,571048.000,27350,1,SR,1,100,0.066667
1760380556.503511,571381.000,27419,1,SR,1,100,0.066667
1760380556.970483,571848.000,27506,1,SR,1,100,0.133333
1760380557.237467,572115.000,27555,1,SR,1,100,0.133333
1760380557.903427,572781.000,27690,1,SR,1,100,0.333333
1760380558.371399,573249.000,27776,1,SR,1,100,0.333333
1760380558.971362,573849.000,27846,1,SR,1,100,0.200000
1760380559.436334,574314.000,27913,1,SR,1,100,0.066667
1760380559.636322,574514.000,27954,1,SR,1,100,0.200000
1760380559.970302,574848.000,28023,1,SR,1,100,0.200000
1760380560.303282,575181.000,28109,1,SR,1,100,0.400000
1760380561.237226,576115.000,28242,1,SR,1,100,0.333333
1760380562.036177,576914.000,28378,1,SR,1,100,0.266667
1760380562.903125,577781.000,28477,1,SR,1,100,0.066667
1760380563.436093,578314.000,28596,1,SR,1,100,0.200000
1760380564.169048,579047.000,28695,1,SR,1,100,0.066667
1760380564.703016,579581.000,28803,1,SR,1,100,0.200000
1760380565.435972,580314.000,28904,1,SR,1,100,0.133333
1760380566.101932,580980.000,29005,1,SR,1,100,0.066667
1760380567.369855,582248.000,29244,1,SR,1,100,0.133333
1760380568.035815,582914.000,29345,1,SR,1,100,0.133333
1760380568.568782,583447.000,29446,1,SR,1,100,0.200000
1760380569.902702,584781.000,29650,1,SR,1,100,0.133333
1760380570.568661,585447.000,29768,1,SR,1,100,0.133333
1760380571.101629,585980.000,29869,1,SR,1,100,0.266667
1760380571.901581,586780.000,29970,1,SR,1,100,0.066667
