RD,TS_received,TS_sent,AK,RoundTrip,
1286473,1286484,2025-10-13_15-57-00-664062,1286485,11,
1291581,1291590,2025-10-13_15-57-05-771129,1291591,9,
1296692,1296719,2025-10-13_15-57-10-899891,1296723,27,
1301801,1301820,2025-10-13_15-57-15-996592,1301824,19,
1306932,1306945,2025-10-13_15-57-21-124315,1306946,13,
1312040,1312056,2025-10-13_15-57-26-234310,1312057,16,
1317148,1322254,2025-10-13_15-57-31-401479,1322255,5106,
1322258,1322267,2025-10-13_15-57-36-446832,1322269,9,
1327369,1327396,2025-10-13_15-57-41-561784,1327397,27,
1332477,1332496,2025-10-13_15-57-46-673631,1332498,19,
1337614,1337629,2025-10-13_15-57-51-806205,1337631,15,
1342720,1342732,2025-10-13_15-57-56-911158,1342734,12,
1347827,1347851,2025-10-13_15-58-02-030429,1347852,24,
1352973,1352992,2025-10-13_15-58-07-168281,1352994,19,
1358081,1358108,2025-10-13_15-58-12-285640,1358112,27,
1363221,1363258,2025-10-13_15-58-17-435078,1363259,37,
1368330,1368371,2025-10-13_15-58-22-524079,1368372,41,
1373437,1373461,2025-10-13_15-58-27-636897,1373463,24,
1378580,1378592,2025-10-13_15-58-32-771224,1378593,12,
1383688,1383759,2025-10-13_15-58-37-881423,1383763,71,
1388796,1393912,2025-10-13_15-58-43-038959,1393913,5116,
1393916,1393955,2025-10-13_15-58-48-133915,1393956,39,
1399022,1399063,2025-10-13_15-58-53-237002,1399064,41,
1404147,1404164,2025-10-13_15-58-58-340772,1404166,17,
1409269,1409312,2025-10-13_15-59-03-459803,1409314,43,
1414388,1414409,2025-10-13_15-59-08-588501,1414413,21,
