LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760385421.175643,1286990.000,14354,1,B%,1,100,36
1760385426.174628,1291989.000,15199,1,B%,1,100,37
1760385431.174612,1296989.000,16039,1,B%,1,100,36
1760385436.173596,1301988.000,16880,1,B%,1,100,36
1760385441.173580,1306988.000,17713,1,B%,1,100,37
1760385446.172564,1311987.000,18575,1,B%,1,100,36
1760385451.172548,1316987.000,19411,1,B%,1,100,36
1760385456.171532,1321986.000,20235,1,B%,1,100,36
1760385461.171517,1326986.000,21079,1,B%,1,100,37
1760385466.171501,1331986.000,21937,1,B%,1,100,36
1760385471.170485,1336985.000,22777,1,B%,1,100,36
1760385476.169469,1341984.000,23610,1,B%,1,100,37
1760385481.169453,1346984.000,24449,1,B%,1,100,36
1760385486.168437,1351983.000,25285,1,B%,1,100,36
1760385491.168422,1356983.000,26122,1,B%,1,100,36
1760385496.168406,1361983.000,26970,1,B%,1,100,38
1760385501.167390,1366982.000,27807,1,B%,1,100,36
1760385506.166374,1371981.000,28647,1,B%,1,100,36
1760385511.166358,1376981.000,29479,1,B%,1,100,36
1760385516.165342,1381980.000,30317,1,B%,1,100,36
1760385521.165326,1386980.000,31147,1,B%,1,100,36
1760385526.164311,1391979.000,31979,1,B%,1,100,36
1760385531.164295,1396979.000,32804,1,B%,1,100,36
1760385536.163279,1401978.000,33641,1,B%,1,100,36
1760385541.163263,1406978.000,34456,1,B%,1,100,36
1760385546.162247,1411977.000,35290,1,B%,1,100,36
1760385551.162231,1416977.000,36118,1,B%,1,100,36
